month,cohort_month,n,median_jpar,p75_jpar
2025-04,2025-04,620,1.1380094770390559,1.4772457967911263
2025-05,2025-04,620,1.1383340459426994,1.4604664546022887
2025-05,2025-05,37,1.2691298458027465,1.531164843301522
2025-06,2025-04,620,1.1580425030013508,1.4604664546022887
2025-06,2025-05,37,1.2691298458027465,1.5548738341556576
2025-06,2025-06,25,1.75203805382102,2.446991234331328
2025-07,2025-04,620,1.1630941183514365,1.4604664546022887
2025-07,2025-05,37,1.2691298458027465,1.49760683205709
2025-07,2025-06,25,1.75203805382102,2.446991234331328
2025-07,2025-07,39,1.3167095001347813,1.5420062272094226
2025-08,2025-04,620,1.1727877169599275,1.4701159563356216
2025-08,2025-05,37,1.2691298458027465,1.49760683205709
2025-08,2025-06,25,1.75203805382102,2.446991234331328
2025-08,2025-07,39,1.3167095001347813,1.5662038220141907
2025-08,2025-08,64,1.6455884921196606,2.0409731228410912
2025-09,2025-04,620,1.1761649557946416,1.4690945427419615
2025-09,2025-05,37,1.2691298458027465,1.49760683205709
2025-09,2025-06,25,1.75203805382102,2.446991234331328
2025-09,2025-07,39,1.3327415074405358,1.571176277584199
2025-09,2025-08,64,1.6633811175736888,2.015820285059599
2025-09,2025-09,16,1.1485622839552647,1.2418414868681187
2025-10,2025-04,620,1.208643590918324,1.5098503481343204
2025-10,2025-05,37,1.282616693373741,1.5727014111519764
2025-10,2025-06,25,1.75203805382102,2.446991234331328
2025-10,2025-07,39,1.3327415074405358,1.571176277584199
2025-10,2025-08,64,1.6633811175736888,2.015820285059599
2025-10,2025-09,16,1.1992602981279876,1.2644931650759128
2025-10,2025-10,38,2.2935288922669965,2.80868194848403
2025-11,2025-04,620,1.2488734605641576,1.6056108943705465
2025-11,2025-05,37,1.416790222786584,1.6658741260485623
2025-11,2025-06,25,1.75203805382102,2.446991234331328
2025-11,2025-07,39,1.3327415074405358,1.652115444572297
2025-11,2025-08,64,1.6937138507500165,2.015820285059599
2025-11,2025-09,16,1.2089921153525616,1.3502921046552232
2025-11,2025-10,38,2.2935288922669965,2.80868194848403
2025-11,2025-11,90,2.181014933108661,2.4968417574216852
2025-12,2025-04,620,1.2488734605641576,1.6056108943705465
2025-12,2025-05,37,1.416790222786584,1.6658741260485623
2025-12,2025-06,25,1.75203805382102,2.446991234331328
2025-12,2025-07,39,1.3327415074405358,1.652115444572297
2025-12,2025-08,64,1.6937138507500165,2.015820285059599
2025-12,2025-09,16,1.2089921153525616,1.3502921046552232
2025-12,2025-10,38,2.2935288922669965,2.80868194848403
2025-12,2025-11,90,2.181014933108661,2.4968417574216852
2025-12,2025-12,3,15.470315736838536,17.156658488226505
2026-01,2025-04,620,1.2468674159094544,1.6056108943705465
2026-01,2025-05,37,1.416790222786584,1.6658741260485623
2026-01,2025-06,25,1.75203805382102,2.446991234331328
2026-01,2025-07,39,1.3327415074405358,1.652115444572297
2026-01,2025-08,64,1.6937138507500165,2.015820285059599
2026-01,2025-09,16,1.2089921153525616,1.364922677791793
2026-01,2025-10,38,2.2935288922669965,2.80868194848403
2026-01,2025-11,90,2.157279252775188,2.4410438210039693
2026-01,2025-12,3,15.470315736838536,17.156658488226505
2026-01,2026-01,23,1.4036241628973956,1.6515671724651924
2026-03,2025-04,620,1.2688382593490284,1.6204490345076774
2026-03,2025-05,37,1.377775188036705,1.6658741260485623
2026-03,2025-06,25,1.75203805382102,2.3520342218347317
2026-03,2025-07,39,1.3327415074405358,1.6696297240585485
2026-03,2025-08,64,1.6937138507500165,2.0105759563709724
2026-03,2025-09,16,1.2089921153525616,1.364922677791793
2026-03,2025-10,38,2.2662676215380584,2.6654336381076744
2026-03,2025-11,90,2.0534472936469235,2.4410438210039693
2026-03,2025-12,3,15.470315736838536,17.156658488226505
2026-03,2026-01,23,1.4036241628973956,1.6515671724651924
2026-03,2026-03,269,1.786982723383342,2.3476247536076817
