full_name,events,jpar_rank,system_rank,jpar,system,rank_delta_vs_jpar
Mikayla Taylor,1,1222,25,6.631042683423881,msp_like_score,-1197.0
Mikayla Taylor,1,1222,47,6.631042683423881,weighted_log_zscore,-1175.0
Mikayla Taylor,1,1222,73,6.631042683423881,conservative_log_zscore,-1149.0
Mikayla Taylor,1,1222,86,6.631042683423881,weighted_event_percentile,-1136.0
Vicky Vetter,1,1219,88,5.348730562420667,msp_like_score,-1131.0
Kristi Frohreich,1,1221,126,5.471788111707866,msp_like_score,-1095.0
Vicky Vetter,1,1219,133,5.348730562420667,weighted_log_zscore,-1086.0
Mikayla Taylor,1,1222,162,6.631042683423881,elo_rating,-1060.0
Vicky Vetter,1,1219,162,5.348730562420667,elo_rating,-1057.0
Debby Kilgore,1,1085,69,2.462092773589337,msp_like_score,-1016.0
Vicky Vetter,1,1219,205,5.348730562420667,conservative_log_zscore,-1014.0
Vicky Vetter,1,1219,210,5.348730562420667,weighted_event_percentile,-1009.0
Kristi Frohreich,1,1221,226,5.471788111707866,weighted_log_zscore,-995.0
Debby Kilgore,1,1085,108,2.462092773589337,weighted_log_zscore,-977.0
Kristi Frohreich,1,1221,301,5.471788111707866,conservative_log_zscore,-920.0
Debby Kilgore,1,1085,167,2.462092773589337,conservative_log_zscore,-918.0
Olivia Oliphant,1,979,84,2.1504886054051973,msp_like_score,-895.0
Michelle Walker,1,968,74,2.1197872755421767,msp_like_score,-894.0
Patrick Madigan,1,997,107,2.2181710826032193,msp_like_score,-890.0
Katelyn Squire,1,919,33,1.9781425036741511,weighted_event_percentile,-886.0
Melissa Revelle,1,1018,135,2.2705028948697312,msp_like_score,-883.0
Katelyn Squire,1,919,43,1.9781425036741511,msp_like_score,-876.0
Michelle Walker,1,968,93,2.1197872755421767,weighted_event_percentile,-875.0
Kelli Ryan,1,1033,160,2.316554889664262,msp_like_score,-873.0
Mareda Shurts,1,1038,168,2.3326033120926586,msp_like_score,-870.0
Michelle Walker,1,968,109,2.1197872755421767,weighted_log_zscore,-859.0
Olivia Oliphant,1,979,121,2.1504886054051973,weighted_event_percentile,-858.0
Jamie Stewart,1,1068,211,2.398890274296907,msp_like_score,-857.0
Olivia Oliphant,1,979,123,2.1504886054051973,weighted_log_zscore,-856.0
Julie Tejeda,1,366,1220,1.2184768415425618,weighted_event_percentile,854.0
Katelyn Squire,1,919,71,1.9781425036741511,weighted_log_zscore,-848.0
Patrick Madigan,1,997,161,2.2181710826032193,weighted_log_zscore,-836.0
Debby Kilgore,1,1085,256,2.462092773589337,weighted_event_percentile,-829.0
Melissa Revelle,1,1018,199,2.2705028948697312,weighted_log_zscore,-819.0
Patrick Madigan,1,997,181,2.2181710826032193,weighted_event_percentile,-816.0
Amy Coenen,1,878,71,1.8745089337141847,msp_like_score,-807.0
Marissa King,1,893,87,1.918388811436584,msp_like_score,-806.0
Katelyn Squire,1,919,115,1.9781425036741511,conservative_log_zscore,-804.0
Allen Greenwell,1,940,140,2.023404698569967,msp_like_score,-800.0
Michelle Walker,1,968,168,2.1197872755421767,conservative_log_zscore,-800.0
Sariah Bronson,1,862,64,1.8434478966747336,msp_like_score,-798.0
Kelli Ryan,1,1033,238,2.316554889664262,weighted_log_zscore,-795.0
Mareda Shurts,1,1038,248,2.3326033120926586,weighted_log_zscore,-790.0
Olivia Oliphant,1,979,190,2.1504886054051973,conservative_log_zscore,-789.0
Megan Bangerter,1,852,63,1.833094217661583,msp_like_score,-789.0
Julie Tejeda,1,366,1153,1.2184768415425618,trueskill_conservative,787.0
Julia Salzman,1,888,104,1.9011257530016468,msp_like_score,-784.0
Kyle Campbell,1,1223,441,15.470315736838536,elo_rating,-782.0
Terra Jansma,1,861,82,1.8430185496317877,msp_like_score,-779.0
Cindy Todd,1,239,1017,1.0932979567825116,trueskill_conservative,778.0
Anna Morrissette,1,909,132,1.949474494736873,msp_like_score,-777.0
Britney Hartmann,1,905,128,1.9423774317298672,msp_like_score,-777.0
Alyssa Rogowski,1,824,52,1.7882282752712646,msp_like_score,-772.0
Amy Coenen,1,878,106,1.8745089337141847,weighted_log_zscore,-772.0
Melissa Revelle,1,1018,250,2.2705028948697312,weighted_event_percentile,-768.0
Marissa King,1,893,129,1.918388811436584,weighted_log_zscore,-764.0
Sariah Bronson,1,862,98,1.8434478966747336,weighted_log_zscore,-764.0
Kelsey Ruggaard,1,1106,346,2.596355645915879,msp_like_score,-760.0
Terra Jansma,1,861,101,1.8430185496317877,weighted_event_percentile,-760.0
Megan Bangerter,1,852,93,1.833094217661583,weighted_log_zscore,-759.0
Jamie Stewart,1,1068,314,2.398890274296907,weighted_log_zscore,-754.0
Rebecca Miller,1,976,224,2.1422254910542167,msp_like_score,-752.0
Patrick Madigan,1,997,247,2.2181710826032193,conservative_log_zscore,-750.0
Sariah Bronson,1,862,116,1.8434478966747336,weighted_event_percentile,-746.0
Megan Bangerter,1,852,106,1.833094217661583,weighted_event_percentile,-746.0
Alyssa Rogowski,1,824,83,1.7882282752712646,weighted_log_zscore,-741.0
Judy Moulder,1,891,150,1.9133237660035072,msp_like_score,-741.0
Terra Jansma,1,861,121,1.8430185496317877,weighted_log_zscore,-740.0
Alyssa Rogowski,1,824,85,1.7882282752712646,weighted_event_percentile,-739.0
Melissa Revelle,1,1018,280,2.2705028948697312,conservative_log_zscore,-738.0
Julia Salzman,1,888,152,1.9011257530016468,weighted_log_zscore,-736.0
Allen Greenwell,1,940,208,2.023404698569967,weighted_log_zscore,-732.0
Marissa King,1,893,165,1.918388811436584,weighted_event_percentile,-728.0
Amy Coenen,1,878,151,1.8745089337141847,weighted_event_percentile,-727.0
Sariah Bronson,1,862,143,1.8434478966747336,conservative_log_zscore,-719.0
Britney Hartmann,1,905,188,1.9423774317298672,weighted_log_zscore,-717.0
Amy Coenen,1,878,164,1.8745089337141847,conservative_log_zscore,-714.0
Anna Morrissette,1,909,195,1.949474494736873,weighted_log_zscore,-714.0
Megan Bangerter,1,852,139,1.833094217661583,conservative_log_zscore,-713.0
Kelli Ryan,1,1033,321,2.316554889664262,conservative_log_zscore,-712.0
Stephanie Klenzing,4,395,1106,1.2483411699602154,elo_rating,711.0
Katelyn Squire,1,919,211,1.9781425036741511,elo_rating,-708.0
Allen Greenwell,1,940,232,2.023404698569967,weighted_event_percentile,-708.0
Danielle Woodward,4,392,1099,1.2466504342267353,elo_rating,707.0
Kelli Ryan,1,1033,328,2.316554889664262,weighted_event_percentile,-705.0
Michelle Walker,1,968,264,2.1197872755421767,elo_rating,-704.0
Kristina Key,6,482,1185,1.325184945506158,elo_rating,703.0
Angela Wald,1,1007,304,2.244776216517802,msp_like_score,-703.0
Jolanta Starr,2,171,874,1.0261266490177852,msp_like_score,703.0
Jennifer Shah,1,853,152,1.835195738101289,msp_like_score,-701.0
Mareda Shurts,1,1038,338,2.3326033120926586,conservative_log_zscore,-700.0
Alyssa Rogowski,1,824,126,1.7882282752712646,conservative_log_zscore,-698.0
Jennifer Holliday,1,831,133,1.8035328831419937,msp_like_score,-698.0
Lisa Peterson,1,1012,318,2.262032348206386,msp_like_score,-694.0
Ameenah Saafir,8,467,1160,1.3106286622983396,elo_rating,693.0
Julia Salzman,1,888,197,1.9011257530016468,weighted_event_percentile,-691.0
Marissa King,1,893,203,1.918388811436584,conservative_log_zscore,-690.0
Andrea Smith,2,37,727,0.8019285804437069,msp_like_score,690.0
Julie Tejeda,1,366,1055,1.2184768415425618,elo_rating,689.0
Britney Hartmann,1,905,219,1.9423774317298672,weighted_event_percentile,-686.0
Jolanta Starr,2,171,856,1.0261266490177852,weighted_log_zscore,685.0
Joey Marshall,2,383,1067,1.2357900096608772,elo_rating,684.0
Alissa Smith,1,709,26,1.603492673145346,weighted_event_percentile,-683.0
Jane Stine,3,40,722,0.8105147388256693,weighted_log_zscore,682.0
Alissa Smith,1,709,28,1.603492673145346,msp_like_score,-681.0
Judy Moulder,1,891,210,1.9133237660035072,weighted_event_percentile,-681.0
Terra Jansma,1,861,182,1.8430185496317877,conservative_log_zscore,-679.0
Anna Morrissette,1,909,231,1.949474494736873,weighted_event_percentile,-678.0
Katherine Kwan,1,958,281,2.094331208952368,msp_like_score,-677.0
Heidi Krauss,1,1113,437,2.6884596355049397,msp_like_score,-676.0
Judy Moulder,1,891,219,1.9133237660035072,weighted_log_zscore,-672.0
Ann Marie Greenleaf,6,329,999,1.1832966675688628,elo_rating,670.0
Jolanta Starr,2,171,839,1.0261266490177852,conservative_log_zscore,668.0
Sammy Bosshardt,1,683,17,1.5569961106442387,msp_like_score,-666.0
Andrea Smith,2,37,702,0.8019285804437069,conservative_log_zscore,665.0
Olivia Oliphant,1,979,315,2.1504886054051973,elo_rating,-664.0
Andrea Smith,2,37,701,0.8019285804437069,weighted_log_zscore,664.0
Jamie Stewart,1,1068,407,2.398890274296907,conservative_log_zscore,-661.0
Deanna OMara,7,517,1177,1.3546949339217438,elo_rating,660.0
Alissa Smith,1,709,49,1.603492673145346,weighted_log_zscore,-660.0
Alisandra Jezek,2,438,1097,1.2887000202827958,elo_rating,659.0
Sammy Bosshardt,1,683,25,1.5569961106442387,weighted_event_percentile,-658.0
Anna Claire Bolton,1,567,1224,1.4044266500552625,elo_rating,657.0
Anna Claire Bolton,1,567,1224,1.4044266500552625,trueskill_conservative,657.0
Jennifer Holliday,1,831,175,1.8035328831419937,weighted_event_percentile,-656.0
